,filename,height,width
0,pleading face_top_left.jpg,36,36
1,pleading face_top_left.jpg,36,36
2,pleading face_top_left.jpg,36,36
3,pleading face_top_left.jpg,36,36
4,face with steam from nose_top_left.jpg,36,36
5,face with steam from nose_top_left.jpg,36,36
6,face with steam from nose_top_left.jpg,36,36
7,face with steam from nose_top_left.jpg,36,36
8,grinning face_top_left.jpg,36,36
9,grinning face_top_left.jpg,36,36
10,grinning face_top_left.jpg,36,36
11,grinning face_top_left.jpg,36,36
12,sad but relieved face_top_left.jpg,36,36
13,sad but relieved face_top_left.jpg,36,36
14,sad but relieved face_top_left.jpg,36,36
15,sad but relieved face_top_left.jpg,36,36
16,beaming face with smiling eyes_top_left.jpg,36,36
17,beaming face with smiling eyes_top_left.jpg,36,36
18,beaming face with smiling eyes_top_left.jpg,36,36
19,beaming face with smiling eyes_top_left.jpg,36,36
20,winking face_top_left.jpg,36,36
21,winking face_top_left.jpg,36,36
22,winking face_top_left.jpg,36,36
23,winking face_top_left.jpg,36,36
24,smiling face with halo_top_left.jpg,36,36
25,smiling face with halo_top_left.jpg,36,36
26,smiling face with halo_top_left.jpg,36,36
27,smiling face with halo_top_left.jpg,36,36
28,face savoring food_top_left.jpg,36,36
29,face savoring food_top_left.jpg,36,36
30,face savoring food_top_left.jpg,36,36
31,face savoring food_top_left.jpg,36,36
32,weary face_top_left.jpg,36,36
33,weary face_top_left.jpg,36,36
34,weary face_top_left.jpg,36,36
35,weary face_top_left.jpg,36,36
36,nerd face_top_left.jpg,36,36
37,nerd face_top_left.jpg,36,36
38,nerd face_top_left.jpg,36,36
39,nerd face_top_left.jpg,36,36
40,flushed face_top_left.jpg,36,36
41,flushed face_top_left.jpg,36,36
42,flushed face_top_left.jpg,36,36
43,flushed face_top_left.jpg,36,36
44,face with medical mask_top_left.jpg,36,36
45,face with medical mask_top_left.jpg,36,36
46,face with medical mask_top_left.jpg,36,36
47,face with medical mask_top_left.jpg,36,36
48,angry face_top_left.jpg,36,36
49,angry face_top_left.jpg,36,36
50,angry face_top_left.jpg,36,36
51,angry face_top_left.jpg,36,36
52,cold face_top_left.jpg,36,36
53,cold face_top_left.jpg,36,36
54,cold face_top_left.jpg,36,36
55,cold face_top_left.jpg,36,36
56,face with hand over mouth_top_left.jpg,36,36
57,face with hand over mouth_top_left.jpg,36,36
58,face with hand over mouth_top_left.jpg,36,36
59,face with hand over mouth_top_left.jpg,36,36
60,sleepy face_top_left.jpg,36,36
61,sleepy face_top_left.jpg,36,36
62,sleepy face_top_left.jpg,36,36
63,sleepy face_top_left.jpg,36,36
64,hugging face_top_left.jpg,36,36
65,hugging face_top_left.jpg,36,36
66,hugging face_top_left.jpg,36,36
67,hugging face_top_left.jpg,36,36
68,loudly crying face_top_left.jpg,36,36
69,loudly crying face_top_left.jpg,36,36
70,loudly crying face_top_left.jpg,36,36
71,loudly crying face_top_left.jpg,36,36
72,frowning face_top_left.jpg,36,36
73,frowning face_top_left.jpg,36,36
74,frowning face_top_left.jpg,36,36
75,frowning face_top_left.jpg,36,36
76,lying face_top_left.jpg,36,36
77,lying face_top_left.jpg,36,36
78,lying face_top_left.jpg,36,36
79,lying face_top_left.jpg,36,36
80,face with tears of joy_top_left.jpg,36,36
81,face with tears of joy_top_left.jpg,36,36
82,face with tears of joy_top_left.jpg,36,36
83,face with tears of joy_top_left.jpg,36,36
84,smirking face_top_left.jpg,36,36
85,smirking face_top_left.jpg,36,36
86,smirking face_top_left.jpg,36,36
87,smirking face_top_left.jpg,36,36
88,neutral face_top_left.jpg,36,36
89,neutral face_top_left.jpg,36,36
90,neutral face_top_left.jpg,36,36
91,neutral face_top_left.jpg,36,36
92,frowning face with open mouth_top_left.jpg,36,36
93,frowning face with open mouth_top_left.jpg,36,36
94,frowning face with open mouth_top_left.jpg,36,36
95,frowning face with open mouth_top_left.jpg,36,36
96,anxious face with sweat_top_left.jpg,36,36
97,anxious face with sweat_top_left.jpg,36,36
98,anxious face with sweat_top_left.jpg,36,36
99,anxious face with sweat_top_left.jpg,36,36
100,smiling face with smiling eyes_top_left.jpg,36,36
101,smiling face with smiling eyes_top_left.jpg,36,36
102,smiling face with smiling eyes_top_left.jpg,36,36
103,smiling face with smiling eyes_top_left.jpg,36,36
104,tired face_top_left.jpg,36,36
105,tired face_top_left.jpg,36,36
106,tired face_top_left.jpg,36,36
107,tired face_top_left.jpg,36,36
108,squinting face with tongue_top_left.jpg,36,36
109,squinting face with tongue_top_left.jpg,36,36
110,squinting face with tongue_top_left.jpg,36,36
111,squinting face with tongue_top_left.jpg,36,36
112,face without mouth_top_left.jpg,36,36
113,face without mouth_top_left.jpg,36,36
114,face without mouth_top_left.jpg,36,36
115,face without mouth_top_left.jpg,36,36
116,face with tongue_top_left.jpg,36,36
117,face with tongue_top_left.jpg,36,36
118,face with tongue_top_left.jpg,36,36
119,face with tongue_top_left.jpg,36,36
120,confused face_top_left.jpg,36,36
121,confused face_top_left.jpg,36,36
122,confused face_top_left.jpg,36,36
123,confused face_top_left.jpg,36,36
124,face with open mouth_top_left.jpg,36,36
125,face with open mouth_top_left.jpg,36,36
126,face with open mouth_top_left.jpg,36,36
127,face with open mouth_top_left.jpg,36,36
128,smiling face_top_left.jpg,36,36
129,smiling face_top_left.jpg,36,36
130,smiling face_top_left.jpg,36,36
131,smiling face_top_left.jpg,36,36
132,face with rolling eyes_top_left.jpg,36,36
133,face with rolling eyes_top_left.jpg,36,36
134,face with rolling eyes_top_left.jpg,36,36
135,face with rolling eyes_top_left.jpg,36,36
136,anguished face_top_left.jpg,36,36
137,anguished face_top_left.jpg,36,36
138,anguished face_top_left.jpg,36,36
139,anguished face_top_left.jpg,36,36
140,face blowing a kiss_top_left.jpg,36,36
141,face blowing a kiss_top_left.jpg,36,36
142,face blowing a kiss_top_left.jpg,36,36
143,face blowing a kiss_top_left.jpg,36,36
144,face with thermometer_top_left.jpg,36,36
145,face with thermometer_top_left.jpg,36,36
146,face with thermometer_top_left.jpg,36,36
147,face with thermometer_top_left.jpg,36,36
148,smiling face with sunglasses_top_left.jpg,36,36
149,smiling face with sunglasses_top_left.jpg,36,36
150,smiling face with sunglasses_top_left.jpg,36,36
151,smiling face with sunglasses_top_left.jpg,36,36
152,sneezing face_top_left.jpg,36,36
153,sneezing face_top_left.jpg,36,36
154,sneezing face_top_left.jpg,36,36
155,sneezing face_top_left.jpg,36,36
156,pensive face_top_left.jpg,36,36
157,pensive face_top_left.jpg,36,36
158,pensive face_top_left.jpg,36,36
159,pensive face_top_left.jpg,36,36
160,grinning face with smiling eyes_top_left.jpg,36,36
161,grinning face with smiling eyes_top_left.jpg,36,36
162,grinning face with smiling eyes_top_left.jpg,36,36
163,grinning face with smiling eyes_top_left.jpg,36,36
164,exploding head_top_left.jpg,36,36
165,exploding head_top_left.jpg,36,36
166,exploding head_top_left.jpg,36,36
167,exploding head_top_left.jpg,36,36
168,yawning face_top_left.jpg,36,36
169,yawning face_top_left.jpg,36,36
170,yawning face_top_left.jpg,36,36
171,yawning face_top_left.jpg,36,36
172,cowboy hat face_top_left.jpg,36,36
173,cowboy hat face_top_left.jpg,36,36
174,cowboy hat face_top_left.jpg,36,36
175,cowboy hat face_top_left.jpg,36,36
176,worried face_top_left.jpg,36,36
177,worried face_top_left.jpg,36,36
178,worried face_top_left.jpg,36,36
179,worried face_top_left.jpg,36,36
180,woozy face_top_left.jpg,36,36
181,woozy face_top_left.jpg,36,36
182,woozy face_top_left.jpg,36,36
183,woozy face_top_left.jpg,36,36
184,face with monocle_top_left.jpg,36,36
185,face with monocle_top_left.jpg,36,36
186,face with monocle_top_left.jpg,36,36
187,face with monocle_top_left.jpg,36,36
188,upside-down face_top_left.jpg,36,36
189,upside-down face_top_left.jpg,36,36
190,upside-down face_top_left.jpg,36,36
191,upside-down face_top_left.jpg,36,36
192,partying face_top_left.jpg,36,36
193,partying face_top_left.jpg,36,36
194,partying face_top_left.jpg,36,36
195,partying face_top_left.jpg,36,36
196,smiling face with heart-eyes_top_left.jpg,36,36
197,smiling face with heart-eyes_top_left.jpg,36,36
198,smiling face with heart-eyes_top_left.jpg,36,36
199,smiling face with heart-eyes_top_left.jpg,36,36
200,slightly frowning face_top_left.jpg,36,36
201,slightly frowning face_top_left.jpg,36,36
202,slightly frowning face_top_left.jpg,36,36
203,slightly frowning face_top_left.jpg,36,36
204,grinning squinting face_top_left.jpg,36,36
205,grinning squinting face_top_left.jpg,36,36
206,grinning squinting face_top_left.jpg,36,36
207,grinning squinting face_top_left.jpg,36,36
208,grimacing face_top_left.jpg,36,36
209,grimacing face_top_left.jpg,36,36
210,grimacing face_top_left.jpg,36,36
211,grimacing face_top_left.jpg,36,36
212,grinning face with big eyes_top_left.jpg,36,36
213,grinning face with big eyes_top_left.jpg,36,36
214,grinning face with big eyes_top_left.jpg,36,36
215,grinning face with big eyes_top_left.jpg,36,36
216,face with symbols on mouth_top_left.jpg,36,36
217,face with symbols on mouth_top_left.jpg,36,36
218,face with symbols on mouth_top_left.jpg,36,36
219,face with symbols on mouth_top_left.jpg,36,36
220,smiling face with hearts_top_left.jpg,36,36
221,smiling face with hearts_top_left.jpg,36,36
222,smiling face with hearts_top_left.jpg,36,36
223,smiling face with hearts_top_left.jpg,36,36
224,grinning face with sweat_top_left.jpg,36,36
225,grinning face with sweat_top_left.jpg,36,36
226,grinning face with sweat_top_left.jpg,36,36
227,grinning face with sweat_top_left.jpg,36,36
228,winking face with tongue_top_left.jpg,36,36
229,winking face with tongue_top_left.jpg,36,36
230,winking face with tongue_top_left.jpg,36,36
231,winking face with tongue_top_left.jpg,36,36
232,unamused face_top_left.jpg,36,36
233,unamused face_top_left.jpg,36,36
234,unamused face_top_left.jpg,36,36
235,unamused face_top_left.jpg,36,36
236,pouting face_top_left.jpg,36,36
237,pouting face_top_left.jpg,36,36
238,pouting face_top_left.jpg,36,36
239,pouting face_top_left.jpg,36,36
240,fearful face_top_left.jpg,36,36
241,fearful face_top_left.jpg,36,36
242,fearful face_top_left.jpg,36,36
243,fearful face_top_left.jpg,36,36
244,sleeping face_top_left.jpg,36,36
245,sleeping face_top_left.jpg,36,36
246,sleeping face_top_left.jpg,36,36
247,sleeping face_top_left.jpg,36,36
248,shushing face_top_left.jpg,36,36
249,shushing face_top_left.jpg,36,36
250,shushing face_top_left.jpg,36,36
251,shushing face_top_left.jpg,36,36
252,hot face_top_left.jpg,36,36
253,hot face_top_left.jpg,36,36
254,hot face_top_left.jpg,36,36
255,hot face_top_left.jpg,36,36
256,zipper-mouth face_top_left.jpg,36,36
257,zipper-mouth face_top_left.jpg,36,36
258,zipper-mouth face_top_left.jpg,36,36
259,zipper-mouth face_top_left.jpg,36,36
260,star-struck_top_left.jpg,36,36
261,star-struck_top_left.jpg,36,36
262,star-struck_top_left.jpg,36,36
263,star-struck_top_left.jpg,36,36
264,hushed face_top_left.jpg,36,36
265,hushed face_top_left.jpg,36,36
266,hushed face_top_left.jpg,36,36
267,hushed face_top_left.jpg,36,36
268,downcast face with sweat_top_left.jpg,36,36
269,downcast face with sweat_top_left.jpg,36,36
270,downcast face with sweat_top_left.jpg,36,36
271,downcast face with sweat_top_left.jpg,36,36
272,persevering face_top_left.jpg,36,36
273,persevering face_top_left.jpg,36,36
274,persevering face_top_left.jpg,36,36
275,persevering face_top_left.jpg,36,36
276,expressionless face_top_left.jpg,36,36
277,expressionless face_top_left.jpg,36,36
278,expressionless face_top_left.jpg,36,36
279,expressionless face_top_left.jpg,36,36
280,rolling on the floor laughing_top_left.jpg,36,36
281,rolling on the floor laughing_top_left.jpg,36,36
282,rolling on the floor laughing_top_left.jpg,36,36
283,rolling on the floor laughing_top_left.jpg,36,36
284,face with raised eyebrow_top_left.jpg,36,36
285,face with raised eyebrow_top_left.jpg,36,36
286,face with raised eyebrow_top_left.jpg,36,36
287,face with raised eyebrow_top_left.jpg,36,36
288,face with head-bandage_top_left.jpg,36,36
289,face with head-bandage_top_left.jpg,36,36
290,face with head-bandage_top_left.jpg,36,36
291,face with head-bandage_top_left.jpg,36,36
292,kissing face with smiling eyes_top_left.jpg,36,36
293,kissing face with smiling eyes_top_left.jpg,36,36
294,kissing face with smiling eyes_top_left.jpg,36,36
295,kissing face with smiling eyes_top_left.jpg,36,36
296,dizzy face_top_left.jpg,36,36
297,dizzy face_top_left.jpg,36,36
298,dizzy face_top_left.jpg,36,36
299,dizzy face_top_left.jpg,36,36
300,relieved face_top_left.jpg,36,36
301,relieved face_top_left.jpg,36,36
302,relieved face_top_left.jpg,36,36
303,relieved face_top_left.jpg,36,36
304,nauseated face_top_left.jpg,36,36
305,nauseated face_top_left.jpg,36,36
306,nauseated face_top_left.jpg,36,36
307,nauseated face_top_left.jpg,36,36
308,face vomiting_top_left.jpg,36,36
309,face vomiting_top_left.jpg,36,36
310,face vomiting_top_left.jpg,36,36
311,face vomiting_top_left.jpg,36,36
312,money-mouth face_top_left.jpg,36,36
313,money-mouth face_top_left.jpg,36,36
314,money-mouth face_top_left.jpg,36,36
315,money-mouth face_top_left.jpg,36,36
316,kissing face with closed eyes_top_left.jpg,36,36
317,kissing face with closed eyes_top_left.jpg,36,36
318,kissing face with closed eyes_top_left.jpg,36,36
319,kissing face with closed eyes_top_left.jpg,36,36
320,disappointed face_top_left.jpg,36,36
321,disappointed face_top_left.jpg,36,36
322,disappointed face_top_left.jpg,36,36
323,disappointed face_top_left.jpg,36,36
324,astonished face_top_left.jpg,36,36
325,astonished face_top_left.jpg,36,36
326,astonished face_top_left.jpg,36,36
327,astonished face_top_left.jpg,36,36
328,slightly smiling face_top_left.jpg,36,36
329,slightly smiling face_top_left.jpg,36,36
330,slightly smiling face_top_left.jpg,36,36
331,slightly smiling face_top_left.jpg,36,36
332,crying face_top_left.jpg,36,36
333,crying face_top_left.jpg,36,36
334,crying face_top_left.jpg,36,36
335,crying face_top_left.jpg,36,36
336,confounded face_top_left.jpg,36,36
337,confounded face_top_left.jpg,36,36
338,confounded face_top_left.jpg,36,36
339,confounded face_top_left.jpg,36,36
340,face screaming in fear_top_left.jpg,36,36
341,face screaming in fear_top_left.jpg,36,36
342,face screaming in fear_top_left.jpg,36,36
343,face screaming in fear_top_left.jpg,36,36
344,thinking face_top_left.jpg,36,36
345,thinking face_top_left.jpg,36,36
346,thinking face_top_left.jpg,36,36
347,thinking face_top_left.jpg,36,36
348,zany face_top_left.jpg,36,36
349,zany face_top_left.jpg,36,36
350,zany face_top_left.jpg,36,36
351,zany face_top_left.jpg,36,36
352,kissing face_top_left.jpg,36,36
353,kissing face_top_left.jpg,36,36
354,kissing face_top_left.jpg,36,36
355,kissing face_top_left.jpg,36,36
356,drooling face_top_left.jpg,36,36
357,drooling face_top_left.jpg,36,36
358,drooling face_top_left.jpg,36,36
359,drooling face_top_left.jpg,36,36
